AÑO FISCAL;SALARIO MENSUAL;RETENCION MENSUAL
2017;49700;2252.25
2017;49750;2259.75
2017;49800;2267.25
2017;49850;2274.75
2017;49900;2282.25
2017;49950;2289.75
2017;50000;2297.25
2017;50050;2304.75
2017;50100;2312.25
2017;50150;2319.75
2017;50200;2327.25
2017;50250;2334.75
2017;50300;2342.25
2017;50350;2349.75
2017;50400;2357.25
2017;50450;2364.75
2017;50500;2372.25
2017;50550;2379.75
2017;50600;2387.25
2017;50650;2394.75
2017;50700;2402.25
2017;50750;2409.75
2017;50800;2417.25
2017;50850;2424.75
2017;50900;2432.25
2017;50950;2439.75
2017;51000;2447.25
2017;51050;2454.75
2017;51100;2462.25
2017;51150;2469.75
2017;51200;2477.25
2017;51250;2484.75
2017;51300;2492.25
2017;51350;2499.75
2017;51400;2507.25
2017;51450;2514.75
2017;51500;2522.25
2017;51550;2529.75
2017;51600;2537.25
2017;51650;2544.75
2017;51700;2552.25
2017;51750;2559.75
2017;51800;2567.25
2017;51850;2574.75
2017;51900;2582.25
2017;51950;2589.75
2017;52000;2597.25
2017;52050;2605.85
2017;52100;2615.85
2017;52150;2625.85
2017;52200;2635.85
2017;52250;2645.85
2017;52300;2655.85
2017;52350;2665.85
2017;52400;2675.85
2017;52450;2685.85
2017;52500;2695.85
2017;52550;2705.85
2017;52600;2715.85
2017;52650;2725.85
2017;52700;2735.85
2017;52750;2745.85
2017;52800;2755.85
2017;52850;2765.85
2017;52900;2775.85
2017;52950;2785.85
2017;53000;2795.85
2017;53050;2805.85
2017;53100;2815.85
2017;53150;2825.85
2017;53200;2835.85
2017;53250;2845.85
2017;53300;2855.85
2017;53350;2865.85
2017;53400;2875.85
2017;53450;2885.85
2017;53500;2895.85
2017;53550;2905.85
2017;53600;2915.85
2017;53650;2925.85
2017;53700;2935.85
2017;53750;2945.85
2017;53800;2955.85
2017;53850;2965.85
2017;53900;2975.85
2017;53950;2985.85
2017;54000;2995.85
2017;54050;3005.85
2017;54100;3015.85
2017;54150;3025.85
2017;54200;3035.85
2017;54250;3045.85
2017;54300;3055.85
2017;54350;3065.85
2017;54400;3075.85
2017;54450;3085.85
2017;54500;3095.85
2017;54550;3105.85
2017;54600;3115.85
2017;54650;3125.85
2017;54700;3135.85
2017;54750;3145.85
2017;54800;3155.85
2017;54850;3165.85
2017;54900;3175.85
2017;54950;3185.85
2017;55000;3195.85
2017;55050;3205.85
2017;55100;3215.85
2017;55150;3225.85
2017;55200;3235.85
2017;55250;3245.85
2017;55300;3255.85
2017;55350;3265.85
2017;55400;3275.85
2017;55450;3285.85
2017;55500;3295.85
2017;55550;3305.85
2017;55600;3315.85
2017;55650;3325.85
2017;55700;3335.85
2017;55750;3345.85
2017;55800;3355.85
2017;55850;3365.85
2017;55900;3375.85
2017;55950;3385.85
2017;56000;3395.85
2017;56050;3405.85
2017;56100;3415.85
2017;56150;3425.85
2017;56200;3435.85
2017;56250;3445.85
2017;56300;3455.85
2017;56350;3465.85
2017;56400;3475.85
2017;56450;3485.85
2017;56500;3495.85
2017;56550;3505.85
2017;56600;3515.85
2017;56650;3525.85
2017;56700;3535.85
2017;56750;3545.85
2017;56800;3555.85
2017;56850;3565.85
2017;56900;3575.85
2017;56950;3585.85
2017;57000;3595.85
2017;57050;3605.85
2017;57100;3615.85
2017;57150;3625.85
2017;57200;3635.85
2017;57250;3645.85
2017;57300;3655.85
2017;57350;3665.85
2017;57400;3675.85
2017;57450;3685.85
2017;57500;3695.85
2017;57550;3705.85
2017;57600;3715.85
2017;57650;3725.85
2017;57700;3735.85
2017;57750;3745.85
2017;57800;3755.85
2017;57850;3765.85
2017;57900;3775.85
2017;57950;3785.85
2017;58000;3795.85
2017;58050;3805.85
2017;58100;3815.85
2017;58150;3825.85
2017;58200;3835.85
2017;58250;3845.85
2017;58300;3855.85
2017;58350;3865.85
2017;58400;3875.85
2017;58450;3885.85
2017;58500;3895.85
2017;58550;3905.85
2017;58600;3915.85
2017;58650;3925.85
2017;58700;3935.85
2017;58750;3945.85
2017;58800;3955.85
2017;58850;3965.85
2017;58900;3975.85
2017;58950;3985.85
2017;59000;3995.85
2017;59050;4005.85
2017;59100;4015.85
2017;59150;4025.85
2017;59200;4035.85
2017;59250;4045.85
2017;59300;4055.85
2017;59350;4065.85
2017;59400;4075.85
2017;59450;4085.85
2017;59500;4095.85
2017;59550;4105.85
2017;59600;4115.85
2017;59650;4125.85
2017;59700;4135.85
2017;59750;4145.85
2017;59800;4155.85
2017;59850;4165.85
2017;59900;4175.85
2017;59950;4185.85
2017;60000;4195.85
2017;60050;4205.85
2017;60100;4215.85
2017;60150;4225.85
2017;60200;4235.85
2017;60250;4245.85
2017;60300;4255.85
2017;60350;4265.85
